"emp_no","first_name","last_name","title","from_date","to_date"
10486,"Amstein","Kossowski","Engineer","1987-10-08","1996-10-07"
10486,"Amstein","Kossowski","Senior Engineer","1996-10-07","9999-01-01"
10494,"Yakkov","Servieres","Engineer","1991-12-18","2000-12-17"
10494,"Yakkov","Servieres","Senior Engineer","2000-12-17","9999-01-01"
10497,"Pramod","Rabehasaina","Engineer","1992-01-22","1999-01-22"
10497,"Pramod","Rabehasaina","Senior Engineer","1999-01-22","9999-01-01"
10499,"Maik","Luft","Senior Staff","2001-07-31","9999-01-01"
10499,"Maik","Luft","Staff","1996-07-31","2001-07-31"
10503,"Dannz","Pell","Engineer","1997-03-13","9999-01-01"
10504,"Xiong","Varker","Staff","1999-10-19","9999-01-01"
10509,"Abdelwaheb","Riesenhuber","Senior Staff","1997-10-06","9999-01-01"
10509,"Abdelwaheb","Riesenhuber","Staff","1992-10-06","1997-10-06"
10512,"Udi","Gihr","Senior Staff","1998-11-28","9999-01-01"
10512,"Udi","Gihr","Staff","1989-11-28","1998-11-28"
10517,"Tiina","Speek","Senior Staff","1990-12-25","9999-01-01"
10519,"Yonghoan","Alencar","Senior Staff","2000-12-05","2001-10-13"
10519,"Yonghoan","Alencar","Staff","1992-12-05","2000-12-05"
10522,"Marke","Cesareni","Senior Staff","1995-12-12","9999-01-01"
10522,"Marke","Cesareni","Staff","1986-12-12","1995-12-12"
10529,"Ymte","Yetto","Assistant Engineer","1997-07-04","9999-01-01"
10531,"Oguz","Gimbel","Staff","1995-03-16","9999-01-01"
10538,"Przemyslawa","Falby","Senior Engineer","1987-07-23","1998-12-13"
10541,"Godehard","Eiter","Staff","1986-02-28","1986-10-01"
10542,"Yannis","Couchot","Senior Engineer","1992-02-07","9999-01-01"
10548,"Ramalingam","Gunderson","Senior Staff","1993-07-04","9999-01-01"
10548,"Ramalingam","Gunderson","Staff","1986-07-04","1993-07-04"
10552,"Kazuhito","Shiratori","Senior Engineer","1998-08-31","9999-01-01"
10564,"Jianhao","Thisen","Engineer","1995-11-23","2000-11-22"
10564,"Jianhao","Thisen","Senior Engineer","2000-11-22","9999-01-01"
10568,"Gao","Poulakidas","Staff","1995-07-08","9999-01-01"
10575,"Theirry","Yeung","Senior Engineer","1988-10-04","2000-11-22"
10586,"Kirk","Vuskovic","Engineer","1992-02-04","2000-02-04"
10586,"Kirk","Vuskovic","Senior Engineer","2000-02-04","9999-01-01"
10591,"Hidde","Hettesheimer","Staff","1987-06-18","1988-09-20"
10593,"Falguni","Kenevan","Engineer","1990-09-12","1999-09-12"
10593,"Falguni","Kenevan","Senior Engineer","1999-09-12","9999-01-01"
10596,"Sanjit","Coors","Senior Staff","2001-05-23","9999-01-01"
10596,"Sanjit","Coors","Staff","1996-05-23","2001-05-23"
10603,"Wayne","Restivo","Staff","1995-07-20","9999-01-01"
10608,"Adhemar","Talmor","Senior Engineer","1986-05-25","1991-06-02"
10610,"Irena","Roccetti","Engineer","1997-03-30","9999-01-01"
10614,"Gila","Ozeri","Engineer","1990-03-03","1998-03-03"
10614,"Gila","Ozeri","Senior Engineer","1998-03-03","9999-01-01"
10615,"Keung","Delgrande","Senior Staff","2002-03-10","9999-01-01"
10615,"Keung","Delgrande","Staff","1996-03-10","2002-03-10"
10617,"Hidekazu","Angel","Senior Staff","1991-10-30","2001-10-03"
10623,"Aleksander","Danlos","Engineer","1992-01-15","1999-01-15"
10623,"Aleksander","Danlos","Senior Engineer","1999-01-15","9999-01-01"
10624,"Sham","Gyorkos","Technique Leader","1990-05-07","9999-01-01"
10628,"Krisda","Krogh","Assistant Engineer","1987-03-14","1994-03-14"
10628,"Krisda","Krogh","Engineer","1994-03-14","2001-03-14"
10628,"Krisda","Krogh","Senior Engineer","2001-03-14","9999-01-01"
10629,"Lalit","Francisci","Staff","1999-10-20","2001-12-07"
10630,"Bezalel","Katzenelson","Engineer","1997-01-13","9999-01-01"
10631,"Inderjeet","Chaudhuri","Engineer","1994-10-18","9999-01-01"
10634,"Nahid","Chepyzhov","Assistant Engineer","1990-11-11","1995-11-11"
10634,"Nahid","Chepyzhov","Engineer","1995-11-11","2000-11-10"
10634,"Nahid","Chepyzhov","Senior Engineer","2000-11-10","9999-01-01"
10636,"Saeko","Porotnikoff","Staff","1996-09-25","9999-01-01"
10637,"Heejo","Frolund","Senior Staff","1998-07-11","2000-01-19"
10637,"Heejo","Frolund","Staff","1993-07-11","1998-07-11"
10639,"Pramod","Erol","Engineer","1992-10-25","1999-10-26"
10639,"Pramod","Erol","Senior Engineer","1999-10-26","9999-01-01"
10641,"Guozhong","Zucker","Assistant Engineer","1993-03-21","1999-03-21"
10641,"Guozhong","Zucker","Engineer","1999-03-21","9999-01-01"
10642,"Hirochika","Narlikar","Engineer","1998-10-05","9999-01-01"
10653,"Otmar","Feinberg","Senior Engineer","1987-04-30","9999-01-01"
10667,"Makato","Cusworth","Senior Staff","1999-07-28","9999-01-01"
10671,"Parviz","Rebaine","Senior Staff","2001-09-13","9999-01-01"
10671,"Parviz","Rebaine","Staff","1995-09-14","2001-09-13"
10672,"Bluma","Zeilberger","Senior Engineer","1991-09-29","1996-04-19"
10676,"Valeri","Danley","Engineer","1999-09-04","9999-01-01"
10683,"Guiseppe","Stranks","Senior Engineer","1997-06-23","9999-01-01"
10693,"Berhard","Daescu","Senior Staff","1991-01-08","9999-01-01"
10693,"Berhard","Daescu","Staff","1986-01-08","1991-01-08"
10694,"Rildo","Straney","Senior Staff","1993-01-25","2001-07-11"
10694,"Rildo","Straney","Staff","1988-01-26","1993-01-25"
10696,"Unal","Fendler","Technique Leader","1991-09-09","9999-01-01"
10702,"Bader","Szemeredi","Senior Engineer","1991-01-14","9999-01-01"
10712,"Uma","Koprowski","Engineer","1994-08-18","2001-08-18"
10712,"Uma","Koprowski","Senior Engineer","2001-08-18","9999-01-01"
10718,"Adib","Rullman","Engineer","1988-07-21","1997-07-21"
10718,"Adib","Rullman","Senior Engineer","1997-07-21","9999-01-01"
10726,"Zita","Minakawa","Engineer","1992-02-25","2001-02-24"
10726,"Zita","Minakawa","Senior Engineer","2001-02-24","9999-01-01"
10731,"Fumitaka","Peak","Senior Staff","1994-02-20","2000-10-09"
10731,"Fumitaka","Peak","Staff","1987-02-20","1994-02-20"
10734,"Sachar","Erdi","Engineer","1995-12-19","9999-01-01"
10741,"Sven","Huttel","Senior Staff","1997-01-06","9999-01-01"
10741,"Sven","Huttel","Staff","1989-01-06","1997-01-06"
10742,"Shim","Wiegley","Technique Leader","1997-04-03","9999-01-01"
10745,"Poorav","Ranze","Engineer","1988-01-23","1997-01-22"
10745,"Poorav","Ranze","Senior Engineer","1997-01-22","9999-01-01"
10747,"Falguni","Khalid","Senior Engineer","1990-10-08","1999-09-20"
10749,"King","Brendel","Engineer","1985-09-26","1990-09-26"
10749,"King","Brendel","Senior Engineer","1990-09-26","9999-01-01"
10750,"Roddy","Demeyer","Technique Leader","1998-11-06","9999-01-01"
10751,"Jordanka","Ushiama","Engineer","1999-12-14","2000-12-05"
10764,"Yunming","Beetstra","Engineer","1989-11-27","1998-11-27"
10764,"Yunming","Beetstra","Senior Engineer","1998-11-27","9999-01-01"
10767,"Monique","Doering","Staff","1997-07-15","9999-01-01"
10768,"Ishfaq","Candan","Engineer","1985-07-04","1990-07-04"
10768,"Ishfaq","Candan","Senior Engineer","1990-07-04","9999-01-01"
10777,"Mizuhito","Kemmerer","Engineer","1990-03-17","1996-03-16"
10777,"Mizuhito","Kemmerer","Senior Engineer","1996-03-16","2001-03-27"
10778,"Selwyn","Merey","Senior Staff","1986-07-04","9999-01-01"
10780,"Goncalo","Staudhammer","Engineer","1994-08-01","1996-08-18"
10782,"Kish","Perna","Staff","1997-07-06","2002-03-30"
10791,"Tadahiko","Sgarro","Engineer","1988-07-30","1995-07-31"
10791,"Tadahiko","Sgarro","Senior Engineer","1995-07-31","9999-01-01"
10795,"Supot","Naudin","Senior Staff","1999-05-03","9999-01-01"
10795,"Supot","Naudin","Staff","1993-05-03","1999-05-03"
10801,"Uinam","Zschoche","Engineer","1998-04-07","2001-01-15"
10803,"Katsuyuki","Velasco","Engineer","1988-04-20","1997-04-20"
10803,"Katsuyuki","Velasco","Senior Engineer","1997-04-20","2002-04-02"
10808,"Chenxi","Leijenhorst","Senior Engineer","1987-03-07","9999-01-01"
10811,"Ashish","Fortenbacher","Engineer","1997-07-08","9999-01-01"
10813,"Shalesh","Shumilov","Senior Staff","1990-04-27","9999-01-01"
10814,"Nidapan","Dymetman","Senior Staff","1998-07-17","9999-01-01"
10814,"Nidapan","Dymetman","Staff","1993-07-17","1998-07-17"
10826,"Arnd","Anandan","Senior Engineer","1993-01-22","9999-01-01"
10827,"Willard","Danley","Staff","1996-11-07","9999-01-01"
10829,"Alper","Narahara","Staff","1993-07-21","1993-11-29"
10830,"Fen","Fiebach","Senior Staff","1997-08-23","9999-01-01"
10830,"Fen","Fiebach","Staff","1991-08-24","1997-08-23"
10831,"Toong","Driscoll","Technique Leader","1998-02-22","9999-01-01"
10833,"Krisda","Gecseg","Technique Leader","1998-12-23","9999-01-01"
10834,"Huiqun","Rajcani","Assistant Engineer","1990-11-24","1999-11-24"
10834,"Huiqun","Rajcani","Engineer","1999-11-24","9999-01-01"
10835,"Tomoyuki","Kermarrec","Engineer","1995-08-22","9999-01-01"
10836,"Jianhua","Leivant","Senior Staff","1987-08-10","9999-01-01"
10844,"Dipayan","Koprowski","Engineer","1997-04-25","9999-01-01"
10846,"Tokuyasu","Serre","Senior Engineer","1995-01-17","9999-01-01"
10847,"Theirry","Danley","Senior Staff","1992-07-24","9999-01-01"
10847,"Theirry","Danley","Staff","1986-07-25","1992-07-24"
10848,"Fen","Bratsberg","Engineer","1985-04-20","1992-04-20"
10848,"Fen","Bratsberg","Senior Engineer","1992-04-20","9999-01-01"
10849,"Makato","Mayerwieser","Assistant Engineer","1995-06-25","2001-06-24"
10849,"Makato","Mayerwieser","Engineer","2001-06-24","9999-01-01"
10854,"Jagoda","Nannarelli","Engineer","1998-07-13","9999-01-01"
10858,"Kenroku","Gonthier","Engineer","1997-01-01","2002-01-01"
10858,"Kenroku","Gonthier","Senior Engineer","2002-01-01","9999-01-01"
10867,"Billur","Gyorkos","Engineer","1997-03-23","2002-03-22"
10871,"Aram","Gilg","Staff","1999-06-16","9999-01-01"
10872,"Karoline","Speel","Senior Staff","1996-09-05","9999-01-01"
10872,"Karoline","Speel","Staff","1990-09-06","1996-09-05"
10873,"Sukumar","Wegerle","Staff","1994-03-23","9999-01-01"
10876,"Vincent","Papastamatiou","Staff","1995-01-29","1999-09-14"
10878,"Lakshmi","Deville","Staff","1997-04-25","9999-01-01"
10879,"Muzhong","Chleq","Senior Engineer","1985-08-15","9999-01-01"
10882,"Fun","Heuser","Engineer","1999-04-29","9999-01-01"
10883,"Shimshon","Champarnaud","Engineer","1996-12-28","9999-01-01"
10885,"Rayond","Cronau","Senior Staff","1991-08-19","9999-01-01"
10887,"Lunjin","DeMori","Senior Engineer","1989-03-17","9999-01-01"
10895,"Vishwani","Petersohn","Staff","1986-04-26","1987-04-13"
10900,"Ferdinand","Prenel","Senior Engineer","1995-09-07","9999-01-01"
10906,"Munehiro","Carrere","Staff","1998-10-18","9999-01-01"
10909,"Georgi","Atchley","Engineer","1993-12-26","2000-12-26"
10909,"Georgi","Atchley","Senior Engineer","2000-12-26","9999-01-01"
10912,"Oscal","Fasbender","Senior Staff","1991-04-23","1999-09-26"
10912,"Oscal","Fasbender","Staff","1986-04-23","1991-04-23"
10913,"Narain","Thummel","Staff","1998-10-25","9999-01-01"
10918,"Susumu","Reghbati","Staff","1990-01-29","1990-10-10"
10920,"Ronghao","Narahara","Senior Staff","1998-02-23","9999-01-01"
10920,"Ronghao","Narahara","Staff","1992-02-24","1998-02-23"
10921,"Mara","Bahi","Engineer","1986-07-27","1995-07-27"
10921,"Mara","Bahi","Senior Engineer","1995-07-27","9999-01-01"
10922,"Kyoichi","Wossner","Staff","1996-02-02","1999-01-16"
10924,"Hironoby","Atchley","Senior Staff","1997-08-14","9999-01-01"
10924,"Hironoby","Atchley","Staff","1988-08-14","1997-08-14"
10926,"Leni","Eppinger","Engineer","1990-04-30","1995-04-30"
10926,"Leni","Eppinger","Senior Engineer","1995-04-30","9999-01-01"
10927,"Gal","Scallan","Senior Staff","1993-09-12","9999-01-01"
10927,"Gal","Scallan","Staff","1986-09-12","1993-09-12"
10930,"Arch","Minakawa","Engineer","1991-11-22","1998-11-22"
10930,"Arch","Minakawa","Senior Engineer","1998-11-22","9999-01-01"
10932,"Avishai","Picci","Engineer","1994-09-09","1999-09-09"
10932,"Avishai","Picci","Senior Engineer","1999-09-09","9999-01-01"
10936,"Mountaz","Schicker","Senior Staff","1996-05-08","9999-01-01"
10936,"Mountaz","Schicker","Staff","1990-05-09","1996-05-08"
10940,"Aleksander","Fioravanti","Engineer","1997-06-30","1999-12-02"
10942,"Toshimitsu","Larfeldt","Engineer","1996-01-21","9999-01-01"
10943,"Berna","Skafidas","Engineer","1993-05-22","1999-05-22"
10943,"Berna","Skafidas","Senior Engineer","1999-05-22","9999-01-01"
10944,"Remko","Zyda","Senior Engineer","1995-09-07","9999-01-01"
10947,"Gor","Usery","Senior Staff","2001-11-15","9999-01-01"
10947,"Gor","Usery","Staff","1995-11-16","2001-11-15"
10948,"Shigehito","Brodie","Senior Engineer","1996-09-30","1997-06-23"
10949,"Shigeichiro","Wroclawski","Senior Staff","1996-06-28","9999-01-01"
10949,"Shigeichiro","Wroclawski","Staff","1990-06-29","1996-06-28"
